Treatment_Number,Animal_ID,Condition_Type,Treatment_Date,Treatment_Time,Treatment_By,Treatment_Type,Treatment_Subtype,Number_of_Days,Weight,Temperature,Visit_Number,Visit_Type,Visit_Reason,Month,Year
T18-867800,A1053386,,12/27/2018,18:29:51.147000,,,,1,,,T18-867796,,,DEC.2018,FY2019
T19-942724,A1061413,,03/19/2019,19:05:01.380000,,,,1,,,T19-942717,,,MAR.2019,FY2019
T19-955001,A1062790,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/02/2019,11:12:00,CP/PA,,,,65,,T19-955001,SURGERY-,,APR.2019,FY2019
T18-867799,A1053386,,12/27/2018,18:29:44.500000,,,,1,,,T18-867796,,,DEC.2018,FY2019
T19-954953,A1062401,,04/02/2019,10:50:43.280000,,,,1,,,T19-954949,,,APR.2019,FY2019
T19-942718,A1061413,,03/19/2019,19:04:42.253000,,HEARTWORM TEST,NEGATIVE,,,,T19-942717,,,MAR.2019,FY2019
T19-949315,A1062306,,03/26/2019,16:59:36.607000,,,,1,,,T19-949311,,,MAR.2019,FY2019
T19-954993,A1062515,,04/02/2019,11:05:57.220000,,,,1,,,T19-954988,,,APR.2019,FY2019
T18-868467,A1053386,,12/28/2018,13:59:04.073000,,,,1,,,T18-868466,,,DEC.2018,FY2019
T19-880422,A1053386,TREATABLE REHABILITABLE NON-CONTAGIOUS,01/11/2019,10:18:00,NG,,,,,,T19-880422,EXAM-VISUAL,,JAN.2019,FY2019
T19-949262,A1062269,,03/26/2019,16:45:47.377000,,HEARTWORM TEST,HIGH POSITIVE,,,,T19-949254,,,MAR.2019,FY2019
T18-838532,A1049500,,11/27/2018,10:14:19.853000,,,,1,,,T18-838531,,,NOV.2018,FY2019
T19-942723,A1061413,,03/19/2019,19:04:56.767000,,,,1,,,T19-942717,,,MAR.2019,FY2019
T19-955035,A1062539,,04/02/2019,11:22:00.443000,,,,1,,,T19-955030,,,APR.2019,FY2019
T19-955064,A1062405,,04/02/2019,11:29:51.987000,,,,1,,,T19-955053,,,APR.2019,FY2019
T19-954951,A1062401,,04/02/2019,10:50:32.307000,,,,1,,,T19-954949,,,APR.2019,FY2019
T19-930858,A1053386,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/06/2019,16:27:00,SR,,,,43,,T19-930858,INTAKE EXAM,,MAR.2019,FY2019
T19-891807,A1053386,,01/21/2019,13:47:23.910000,,,,5,,,T19-891209,,,JAN.2019,FY2019
T19-942750,A1053321,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/19/2019,19:15:00,ER,,,,34,,T19-942750,INTAKE EXAM,,MAR.2019,FY2019
T19-955029,A1053554,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/02/2019,11:12:00,OB,,,,,,T19-955029,EXAM-VISUAL,,APR.2019,FY2019
T19-954932,A1062659,,04/02/2019,10:35:09.543000,,,,1,,,T19-954930,,,APR.2019,FY2019
T19-930861,A1053386,,03/06/2019,16:28:25.780000,,,,1,,,T19-930858,,,MAR.2019,FY2019
T19-894806,A1053386,,01/25/2019,11:12:05.073000,,,,1,,,T19-894805,,,JAN.2019,FY2019
T19-942751,A1053321,,03/19/2019,19:15:37.267000,,HEARTWORM TEST,NEGATIVE,,,,T19-942750,,,MAR.2019,FY2019
T19-949313,A1062306,,03/26/2019,16:59:27.153000,,,,1,,,T19-949311,,,MAR.2019,FY2019
T19-930862,A1053386,,03/06/2019,16:28:29.023000,,,,1,,,T19-930858,,,MAR.2019,FY2019
T19-949287,A1062317,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/26/2019,16:51:00,SR,,,,43.8,,T19-949287,INTAKE EXAM,,MAR.2019,FY2019
T19-949260,A1062269,,03/26/2019,16:45:39.250000,,,,1,,,T19-949254,,,MAR.2019,FY2019
T19-912990,A1053386,,02/14/2019,13:16:35.487000,,,,1,,,T19-912985,,,FEB.2019,FY2019
T19-954938,A1062732,,04/02/2019,10:43:14.333000,,,,1,,,T19-954937,,,APR.2019,FY2019
T19-879467,A1053386,TREATABLE REHABILITABLE NON-CONTAGIOUS,01/10/2019,10:13:00,CP,,,,44,,T19-879467,SURGERY-,,JAN.2019,FY2019
T19-942757,A1053321,,03/19/2019,19:15:56.540000,,,,1,,,T19-942750,,,MAR.2019,FY2019
T18-862377,A1049500,,12/21/2018,10:28:58.033000,,,,4,,,T18-862374,,,DEC.2018,FY2019
T19-955063,A1062405,,04/02/2019,11:29:46.267000,,,,1,,,T19-955053,,,APR.2019,FY2019
T19-942753,A1053321,,03/19/2019,19:15:42.163000,,,,1,,,T19-942750,,,MAR.2019,FY2019
T19-954996,A1062264,,04/02/2019,11:11:08.050000,,,,1,,,T19-954995,,,APR.2019,FY2019
T19-912991,A1053386,,02/14/2019,13:16:38.663000,,,,1,,,T19-912985,,,FEB.2019,FY2019
T19-955028,A1061264,,04/02/2019,11:20:13.970000,,,,14,,,T19-955020,,,APR.2019,FY2019
T19-949255,A1062269,,03/26/2019,16:45:01.567000,,,,1,,,T19-949254,,,MAR.2019,FY2019
T19-954934,A1062659,,04/02/2019,10:35:20.407000,,,,1,,,T19-954930,,,APR.2019,FY2019
T19-954931,A1062659,,04/02/2019,10:35:05.420000,,,,1,,,T19-954930,,,APR.2019,FY2019
T19-955000,A1062264,,04/02/2019,11:11:35.477000,,,,3,,,T19-954995,,,APR.2019,FY2019
T19-949257,A1062269,,03/26/2019,16:45:24.703000,,,,1,,,T19-949254,,,MAR.2019,FY2019
T19-955024,A1062655,,04/02/2019,11:19:16.973000,,,,1,,,T19-955021,,,APR.2019,FY2019
T19-955036,A1062539,,04/02/2019,11:22:06.313000,,,,1,,,T19-955030,,,APR.2019,FY2019
T19-955032,A1062915,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/02/2019,11:21:00,LV,,,,56.2,,T19-955032,INTAKE EXAM,,APR.2019,FY2019
T19-949291,A1062317,,03/26/2019,16:52:02.890000,,,,1,,,T19-949287,,,MAR.2019,FY2019
T19-949314,A1062306,,03/26/2019,16:59:31.043000,,,,1,,,T19-949311,,,MAR.2019,FY2019
T19-949317,A1062306,,03/26/2019,16:59:44.973000,,MICROCHIP (24HR PET WATCH),,,,,T19-949311,,,MAR.2019,FY2019
T19-930860,A1053386,,03/06/2019,16:28:21.370000,,,,1,,,T19-930858,,,MAR.2019,FY2019
T19-912988,A1053386,,02/14/2019,13:16:25.010000,,,,1,,,T19-912985,,,FEB.2019,FY2019
T19-949293,A1062317,,03/26/2019,16:52:11.237000,,,,1,,,T19-949287,,,MAR.2019,FY2019
T19-891209,A1053386,UNKNOWN,01/21/2019,18:49:00,AG,,,,,,T19-891209,VET CHECK,,JAN.2019,FY2019
T19-955019,A1061573,,04/02/2019,11:17:48.437000,,,,14,,,T19-955017,,,APR.2019,FY2019
T19-949263,A1062269,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/26/2019,16:44:00,SR,,,,54.6,,T19-949263,VET CHECK,,MAR.2019,FY2019
T19-949254,A1062269,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/26/2019,16:44:00,SR,,,,54.6,,T19-949254,INTAKE EXAM,,MAR.2019,FY2019
T19-949256,A1062269,,03/26/2019,16:45:06.363000,,,,1,,,T19-949254,,,MAR.2019,FY2019
T18-829670,A1049500,,11/16/2018,17:19:14.543000,,MICROCHIP (24HR PET WATCH),,,,,T18-829663,,,NOV.2018,FY2019
T18-867802,A1053386,,12/27/2018,18:32:36.220000,,HEARTWORM TEST,LOW POSITIVE,,,,T18-867796,,,DEC.2018,FY2019
T18-858473,A1049500,,12/17/2018,13:31:34.350000,,,,1,,,T18-858470,,,DEC.2018,FY2019
T19-880423,A1053386,,01/11/2019,10:19:48.730000,,,,1,,,T19-880422,,,JAN.2019,FY2019
T19-896111,A1053386,TREATABLE REHABILITABLE NON-CONTAGIOUS,01/27/2019,09:07:00,OB,,,,,,T19-896111,EXAM-VISUAL,,JAN.2019,FY2019
T19-954954,A1062401,,04/02/2019,10:50:49.830000,,,,1,,,T19-954949,,,APR.2019,FY2019
T18-868466,A1053386,TREATABLE REHABILITABLE NON-CONTAGIOUS,12/28/2018,13:58:00,LV,,,,,,T18-868466,EXAM-VISUAL,,DEC.2018,FY2019
T19-954991,A1062515,,04/02/2019,11:05:44.473000,,,,1,,,T19-954988,,,APR.2019,FY2019
T19-942842,A1060617,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/20/2019,08:21:00,OB,,,,,,T19-942842,EXAM-VISUAL,,MAR.2019,FY2019
T19-949258,A1062269,,03/26/2019,16:45:31.840000,,,,1,,,T19-949254,,,MAR.2019,FY2019
T19-942843,A1060617,,03/20/2019,08:21:47.527000,,,,1,,,T19-942842,,,MAR.2019,FY2019
T19-955022,A1062655,,04/02/2019,11:19:06.493000,,,,1,,,T19-955021,,,APR.2019,FY2019
T18-829664,A1049500,,11/16/2018,17:18:40.773000,,,,1,,,T18-829663,,,NOV.2018,FY2019
T19-949290,A1062317,,03/26/2019,16:51:57.713000,,,,1,,,T19-949287,,,MAR.2019,FY2019
T19-942797,A1061514,,03/20/2019,00:05:36.680000,,,,1,,,T19-942795,,,MAR.2019,FY2019
T19-942798,A1061514,,03/20/2019,00:05:46.453000,,,,1,,,T19-942795,,,MAR.2019,FY2019
T19-955023,A1062655,,04/02/2019,11:19:10.573000,,,,1,,,T19-955021,,,APR.2019,FY2019
T18-867798,A1053386,,12/27/2018,18:29:35.033000,,,,1,,,T18-867796,,,DEC.2018,FY2019
T19-879468,A1053386,,01/10/2019,10:17:02.250000,,,,1,,,T19-879467,,,JAN.2019,FY2019
T19-942796,A1061514,,03/20/2019,00:05:28.917000,,,,1,,,T19-942795,,,MAR.2019,FY2019
T19-955004,A1062790,,04/02/2019,11:12:51.477000,,,,1,,,T19-955001,,,APR.2019,FY2019
T18-849260,A1049500,TREATABLE REHABILITABLE CONTAGIOUS,12/08/2018,11:16:00,AG,,,,57,,T18-849260,VET CHECK,,DEC.2018,FY2019
T19-942795,A1061514,TREATABLE MANAGEABLE NON-CONTAGIOUS,03/20/2019,00:05:00,JC,,,,,,T19-942795,INTAKE EXAM,,MAR.2019,FY2019
T19-954990,A1062515,,04/02/2019,11:05:40.337000,,,,1,,,T19-954988,,,APR.2019,FY2019
T19-954948,A1062732,,04/02/2019,10:46:32.203000,,,,3,,,T19-954937,,,APR.2019,FY2019
T19-955018,A1061573,,04/02/2019,11:17:34.780000,,,,14,,,T19-955017,,,APR.2019,FY2019
T19-954939,A1062732,,04/02/2019,10:43:27.377000,,,,1,,,T19-954937,,,APR.2019,FY2019
T19-955061,A1062405,,04/02/2019,11:29:34.687000,,,,1,,,T19-955053,,,APR.2019,FY2019
T19-955006,A1062790,,04/02/2019,11:13:04.170000,,,,3,,,T19-955001,,,APR.2019,FY2019
T19-949312,A1062306,,03/26/2019,16:59:23.720000,,,,1,,,T19-949311,,,MAR.2019,FY2019
T18-858470,A1049500,TREATABLE REHABILITABLE CONTAGIOUS,12/17/2018,13:29:00,ER/VD,,,,58.2,,T18-858470,EXAM,,DEC.2018,FY2019
T19-954947,A1062732,,04/02/2019,10:46:15.570000,,,,1,,,T19-954937,,,APR.2019,FY2019
T19-949316,A1062306,,03/26/2019,16:59:41.310000,,,,1,,,T19-949311,,,MAR.2019,FY2019
T19-955003,A1062790,,04/02/2019,11:12:45.460000,,,,1,,,T19-955001,,,APR.2019,FY2019
T19-955066,A1062405,,04/02/2019,11:29:57.390000,,,,3,,,T19-955053,,,APR.2019,FY2019
T18-829663,A1049500,TREATABLE REHABILITABLE NON-CONTAGIOUS,11/16/2018,17:17:00,LV,,,,64,,T18-829663,EXAM - ADOPTION,,NOV.2018,FY2019
T18-838535,A1049500,,11/27/2018,10:14:40.540000,,,,1,,,T18-838531,,,NOV.2018,FY2019
T19-955025,A1062655,,04/02/2019,11:19:22.813000,,,,1,,,T19-955021,,,APR.2019,FY2019
T19-955060,A1049500,,04/02/2019,11:29:28.767000,,,,1,,,T19-955055,,,APR.2019,FY2019
T19-955026,A1062655,,04/02/2019,11:19:28.080000,,,,3,,,T19-955021,,,APR.2019,FY2019
T19-949259,A1062269,,03/26/2019,16:45:35.923000,,,,1,,,T19-949254,,,MAR.2019,FY2019
T18-851021,A1049500,,12/08/2018,10:01:03.383000,,,,14,,,T18-849260,,,DEC.2018,FY2019
T19-955058,A1049500,,04/02/2019,11:29:15.703000,,,,1,,,T19-955055,,,APR.2019,FY2019
T18-829668,A1049500,,11/16/2018,17:19:03.363000,,,,1,,,T18-829663,,,NOV.2018,FY2019
T19-955030,A1062539,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/02/2019,11:21:00,VL/PA,,,,61,,T19-955030,SURGERY-,,APR.2019,FY2019
T19-954995,A1062264,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/02/2019,11:06:00,VL/PA,,,,73,,T19-954995,SURGERY-,,APR.2019,FY2019
T19-955049,A1062478,,04/02/2019,11:23:41.977000,,,,1,,,T19-955045,,,APR.2019,FY2019
T19-879472,A1053386,,01/10/2019,10:19:13.110000,,,,3,,,T19-879467,,,JAN.2019,FY2019
T19-912989,A1053386,,02/14/2019,13:16:30.840000,,,,1,,,T19-912985,,,FEB.2019,FY2019
T19-949294,A1062317,,03/26/2019,16:52:14.450000,,MICROCHIP (24HR PET WATCH),,,,,T19-949287,,,MAR.2019,FY2019
T19-896113,A1053386,,01/27/2019,09:09:46.637000,,,,1,,,T19-896111,,,JAN.2019,FY2019
T19-879469,A1053386,,01/10/2019,10:17:12.750000,,,,1,,,T19-879467,,,JAN.2019,FY2019
T19-955041,A1062539,,04/02/2019,11:22:17.700000,,,,3,,,T19-955030,,,APR.2019,FY2019
T19-954937,A1062732,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/02/2019,10:40:00,CP/PA,,,,55,,T19-954937,SURGERY-,,APR.2019,FY2019
T19-949318,A1062306,,03/26/2019,16:59:49.340000,,HEARTWORM TEST,NEGATIVE,,,,T19-949311,,,MAR.2019,FY2019
T19-954977,A1062879,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/02/2019,10:58:00,LV,,,,,,T19-954977,EXAM-VISUAL,,APR.2019,FY2019
T18-851029,A1049500,TREATABLE REHABILITABLE CONTAGIOUS,12/10/2018,10:01:00,AG,,,,,,T18-851029,VET CHECK,,DEC.2018,FY2019
T19-942853,A1060208,UNKNOWN,03/20/2019,09:10:00,OB,,,,,,T19-942853,EXAM-VISUAL,,MAR.2019,FY2019
T19-955017,A1061573,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/02/2019,11:12:00,OB,,,,,,T19-955017,EXAM-VISUAL,,APR.2019,FY2019
T19-955044,A1062915,,04/02/2019,11:23:02.263000,,,,1,,,T19-955032,,,APR.2019,FY2019
T19-949311,A1062306,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/26/2019,16:58:00,ER,,,,34.4,,T19-949311,INTAKE EXAM,,MAR.2019,FY2019
T18-829669,A1049500,,11/16/2018,17:19:11,,HEARTWORM TEST,NEGATIVE,,,,T18-829663,,,NOV.2018,FY2019
T19-955052,A1062478,,04/02/2019,11:23:51.780000,,,,3,,,T19-955045,,,APR.2019,FY2019
T18-857956,A1049500,TREATABLE REHABILITABLE NON-CONTAGIOUS,12/17/2018,10:03:00,AG,,,,,,T18-857956,EXAM-VISUAL,,DEC.2018,FY2019
T18-851025,A1049500,TREATABLE REHABILITABLE CONTAGIOUS,12/10/2018,10:01:00,AG,,,,,,T18-851025,VET CHECK,,DEC.2018,FY2019
T19-949261,A1062269,,03/26/2019,16:45:42.030000,,MICROCHIP (24HR PET WATCH),,,,,T19-949254,,,MAR.2019,FY2019
T19-942867,A1058725,,03/20/2019,09:18:21.460000,,,,1,,,T19-942866,,,MAR.2019,FY2019
T19-955033,A1062539,,04/02/2019,11:21:56.467000,,,,1,,,T19-955030,,,APR.2019,FY2019
T18-855964,A1049500,,12/14/2018,17:42:32.620000,,,,1,,,T18-855963,,,DEC.2018,FY2019
T19-894805,A1053386,TREATABLE REHABILITABLE NON-CONTAGIOUS,01/25/2019,10:59:00,NG,,,,,,T19-894805,EXAM-VISUAL,,JAN.2019,FY2019
T19-954998,A1062264,,04/02/2019,11:11:20.637000,,,,1,,,T19-954995,,,APR.2019,FY2019
T19-949383,A1053386,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/26/2019,17:18:00,SR,,,,48,,T19-949383,INTAKE EXAM,,MAR.2019,FY2019
T19-912992,A1053386,,02/14/2019,13:16:45.077000,,HEARTWORM TEST,LOW POSITIVE,,,,T19-912985,,,FEB.2019,FY2019
T18-867797,A1053386,,12/27/2018,18:29:30.207000,,,,1,,,T18-867796,,,DEC.2018,FY2019
T19-954980,A1059655,,04/02/2019,11:02:32.447000,,,,1,,,T19-954979,,,APR.2019,FY2019
T19-942864,A1060221,UNKNOWN,03/20/2019,09:10:00,OB,,,,,,T19-942864,EXAM-VISUAL,,MAR.2019,FY2019
T19-955042,A1062915,,04/02/2019,11:22:22.103000,,,,1,,,T19-955032,,,APR.2019,FY2019
T19-879470,A1053386,,01/10/2019,10:17:26.757000,,,,1,,,T19-879467,,,JAN.2019,FY2019
T18-838533,A1049500,,11/27/2018,10:14:24.600000,,,,1,,,T18-838531,,,NOV.2018,FY2019
T19-955027,A1061264,,04/02/2019,11:19:35.440000,,,,14,,,T19-955020,,,APR.2019,FY2019
T19-942865,A1060221,,03/20/2019,09:17:53.707000,,,,1,,,T19-942864,,,MAR.2019,FY2019
T19-955055,A1049500,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/02/2019,11:28:00,SR/LV,,,,62.8,,T19-955055,INTAKE EXAM,,APR.2019,FY2019
T19-954999,A1062264,,04/02/2019,11:11:26.923000,,,,1,,,T19-954995,,,APR.2019,FY2019
T19-942866,A1058725,UNKNOWN,03/20/2019,09:10:00,OB,,,,,,T19-942866,EXAM-VISUAL,,MAR.2019,FY2019
T19-955045,A1062478,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/02/2019,11:22:00,CP/PA,,,,52,,T19-955045,SURGERY-,,APR.2019,FY2019
T19-954935,A1062659,,04/02/2019,10:35:25.207000,,,,3,,,T19-954930,,,APR.2019,FY2019
T19-954989,A1062515,,04/02/2019,11:05:15.900000,,IN-HEAT,,,,,T19-954988,,,APR.2019,FY2019
T19-954982,A1059655,,04/02/2019,11:02:41.173000,,,,1,,,T19-954979,,,APR.2019,FY2019
T19-942868,A1058725,,03/20/2019,09:18:33.317000,,,,1,,,T19-942866,,,MAR.2019,FY2019
T19-955037,A1062915,,04/02/2019,11:22:10.020000,,,,1,,,T19-955032,,,APR.2019,FY2019
T18-841856,A1049500,,11/30/2018,12:09:59.497000,,,,1,,,T18-841855,,,NOV.2018,FY2019
T19-942854,A1060208,,03/20/2019,09:12:02.403000,,,,1,,,T19-942853,,,MAR.2019,FY2019
T19-954994,A1062515,,04/02/2019,11:06:02.210000,,,,3,,,T19-954988,,,APR.2019,FY2019
T18-855963,A1049500,TREATABLE REHABILITABLE NON-CONTAGIOUS,12/14/2018,17:42:00,AG2,,,,,,T18-855963,EXAM,,DEC.2018,FY2019
T19-954950,A1062401,,04/02/2019,10:48:05.840000,,POSTPARTUM,,,,,T19-954949,,,APR.2019,FY2019
T19-955046,A1062478,,04/02/2019,11:23:12.673000,,IN-HEAT,,,,,T19-955045,,,APR.2019,FY2019
T19-955038,A1062539,,04/02/2019,11:22:11.540000,,,,1,,,T19-955030,,,APR.2019,FY2019
T19-954952,A1062401,,04/02/2019,10:50:36.767000,,,,1,,,T19-954949,,,APR.2019,FY2019
T19-954978,A1062879,,04/02/2019,10:59:46.597000,,HEARTWORM TEST,NEGATIVE,,,,T19-954977,,,APR.2019,FY2019
T19-955050,A1062478,,04/02/2019,11:23:47.097000,,,,1,,,T19-955045,,,APR.2019,FY2019
T19-945231,A1061359,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/22/2019,17:03:00,LS,,,,,,T19-945231,MEDICAL REVIEW,TRAUMA,MAR.2019,FY2019
T19-942930,A1061514,,03/20/2019,09:57:12.550000,,,,1,,,T19-942925,,,MAR.2019,FY2019
T19-954940,A1058725,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/02/2019,10:43:00,AG,,,,,,T19-954940,EXAM-VISUAL,,APR.2019,FY2019
T19-955031,A1053554,,04/02/2019,11:21:41,,,,14,,,T19-955029,,,APR.2019,FY2019
T19-932380,A1060398,,03/08/2019,12:39:08.743000,,,,1,,,T19-932367,,,MAR.2019,FY2019
T18-851020,A1049500,,12/08/2018,10:00:47.483000,,,,14,,,T18-849260,,,DEC.2018,FY2019
T19-954992,A1062515,,04/02/2019,11:05:52.057000,,,,1,,,T19-954988,,,APR.2019,FY2019
T18-838537,A1049500,,11/27/2018,10:14:54.773000,,,,3,,,T18-838531,,,NOV.2018,FY2019
T18-829667,A1049500,,11/16/2018,17:18:55.813000,,,,1,,,T18-829663,,,NOV.2018,FY2019
T19-955057,A1049500,,04/02/2019,11:29:11.797000,,,,1,,,T19-955055,,,APR.2019,FY2019
T19-954933,A1062659,,04/02/2019,10:35:15.277000,,,,1,,,T19-954930,,,APR.2019,FY2019
T19-932367,A1060398,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/08/2019,12:36:00,LV,,,,52,,T19-932367,INTAKE EXAM,EYE,MAR.2019,FY2019
T18-870154,A1053554,,12/31/2018,10:48:26.733000,,,,1,,,T18-870143,,,DEC.2018,FY2019
T19-932384,A1060398,,03/08/2019,12:39:30.850000,,,,1,,,T19-932367,,,MAR.2019,FY2019
T19-942906,A1060962,,03/20/2019,09:54:49.703000,,,,1,,,T19-942905,,,MAR.2019,FY2019
T19-955129,A1062581,,04/02/2019,12:05:20.523000,,,,1,,,T19-955128,,,APR.2019,FY2019
T19-932387,A1060398,,03/08/2019,12:39:41.860000,,,,1,,,T19-932367,,,MAR.2019,FY2019
T19-942932,A1061514,,03/20/2019,09:57:16.040000,,MICROCHIP (24HR PET WATCH),,,,,T19-942925,,,MAR.2019,FY2019
T18-870148,A1053554,,12/31/2018,10:47:47.737000,,HEARTWORM TEST,NEGATIVE,,,,T18-870143,,,DEC.2018,FY2019
T19-949351,A1062256,,03/26/2019,17:09:53.690000,,HEARTWORM TEST,NEGATIVE,,,,T19-949343,,,MAR.2019,FY2019
T19-952568,A1062256,TREATABLE REHABILITABLE CONTAGIOUS,03/30/2019,10:46:00,CP/PA,,,,43.4,,T19-952568,SURGERY-,,MAR.2019,FY2019
T19-955109,A1062466,,04/02/2019,11:52:10.290000,,,,1,,,T19-955087,,,APR.2019,FY2019
T19-932423,A1060398,,03/08/2019,12:57:47.420000,,MICROCHIP (24HR PET WATCH),,,,,T19-932367,,,MAR.2019,FY2019
T19-955128,A1062581,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/02/2019,12:04:00,VL/PA,,,,39,,T19-955128,SURGERY-,,APR.2019,FY2019
T19-949349,A1062256,,03/26/2019,17:09:45.353000,,,,1,,,T19-949343,,,MAR.2019,FY2019
T19-955087,A1062466,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/02/2019,11:41:00,VL/PA,,,,60,,T19-955087,SURGERY-,,APR.2019,FY2019
T19-949345,A1062256,,03/26/2019,17:09:29.217000,,,,1,,,T19-949343,,,MAR.2019,FY2019
T19-949346,A1062256,,03/26/2019,17:09:32.397000,,,,1,,,T19-949343,,,MAR.2019,FY2019
T19-952572,A1062256,,03/30/2019,10:47:14.947000,,,,1,,,T19-952568,,,MAR.2019,FY2019
T19-955133,A1062581,,04/02/2019,12:05:50.133000,,,,3,,,T19-955128,,,APR.2019,FY2019
T19-932386,A1060398,,03/08/2019,12:39:38.620000,,,,1,,,T19-932367,,,MAR.2019,FY2019
T19-942908,A1060962,,03/20/2019,09:54:59.730000,,,,1,,,T19-942905,,,MAR.2019,FY2019
T19-955130,A1062581,,04/02/2019,12:05:28.520000,,,,1,,,T19-955128,,,APR.2019,FY2019
T19-949347,A1062256,,03/26/2019,17:09:37.023000,,,,1,,,T19-949343,,,MAR.2019,FY2019
T19-949344,A1062256,,03/26/2019,17:09:20.797000,,,,1,,,T19-949343,,,MAR.2019,FY2019
T19-955110,A1062466,,04/02/2019,11:52:14.787000,,,,1,,,T19-955087,,,APR.2019,FY2019
T19-942907,A1060962,,03/20/2019,09:54:53.760000,,,,1,,,T19-942905,,,MAR.2019,FY2019
T19-955184,A1054102,,04/02/2019,12:25:12.537000,,,,14,,,T19-955175,,,APR.2019,FY2019
T19-949343,A1062256,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/26/2019,17:08:00,ER,,,,48.4,,T19-949343,INTAKE EXAM,,MAR.2019,FY2019
T19-955083,A1049500,,04/02/2019,11:39:10.730000,,HEARTWORM TEST,NEGATIVE,,,,T19-955055,,,APR.2019,FY2019
T18-870147,A1053554,,12/31/2018,10:47:39.630000,,,,1,,,T18-870143,,,DEC.2018,FY2019
T19-942926,A1061514,,03/20/2019,09:57:02.370000,,,,1,,,T19-942925,,,MAR.2019,FY2019
T19-932382,A1060398,,03/08/2019,12:39:15.120000,,,,1,,,T19-932367,,,MAR.2019,FY2019
T19-955186,A1060522,TREATABLE REHABILITABLE NON-CONTAGIOUS,04/02/2019,12:23:00,OB,,,,,,T19-955186,EXAM-VISUAL,,APR.2019,FY2019
T19-942914,A1060962,,03/20/2019,09:55:10.157000,,,,3,,,T19-942905,,,MAR.2019,FY2019
T19-955131,A1062581,,04/02/2019,12:05:35.510000,,,,1,,,T19-955128,,,APR.2019,FY2019
T18-870144,A1053554,,12/31/2018,10:47:28.537000,,,,1,,,T18-870143,,,DEC.2018,FY2019
T18-869202,A1053554,TREATABLE REHABILITABLE NON-CONTAGIOUS,12/29/2018,17:06:00,LS,,,,,,T18-869202,INTAKE EXAM,,DEC.2018,FY2019
T18-870150,A1053554,,12/31/2018,10:47:57.613000,,,,1,,,T18-870143,,,DEC.2018,FY2019
T18-870146,A1053554,,12/31/2018,10:47:34.160000,,,,1,,,T18-870143,,,DEC.2018,FY2019
T19-949604,A1062264,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/26/2019,19:21:00,ER,,,,75,,T19-949604,INTAKE EXAM,,MAR.2019,FY2019
T19-949540,A1062339,,03/26/2019,18:44:13.067000,,,,1,,,T19-949534,,,MAR.2019,FY2019
T19-955191,A1060522,,04/02/2019,12:27:21.267000,,,,14,,,T19-955186,,,APR.2019,FY2019
T19-952673,A1062256,,03/30/2019,11:36:38.423000,,,,7,,,T19-952568,,,MAR.2019,FY2019
T18-870303,A1053554,,12/31/2018,12:43:18.987000,,,,1,,,T18-870143,,,DEC.2018,FY2019
T18-870159,A1053554,,12/31/2018,10:48:45.200000,,,,3,,,T18-870143,,,DEC.2018,FY2019
T19-949541,A1062339,,03/26/2019,18:44:17.370000,,,,1,,,T19-949534,,,MAR.2019,FY2019
T19-942905,A1060962,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/20/2019,09:54:00,VL/PA,,,,52,,T19-942905,SURGERY-,,MAR.2019,FY2019
T18-870151,A1053554,,12/31/2018,10:48:03.790000,,,,1,,,T18-870143,,,DEC.2018,FY2019
T19-949348,A1062256,,03/26/2019,17:09:41.820000,,,,1,,,T19-949343,,,MAR.2019,FY2019
T19-952573,A1062256,,03/30/2019,10:47:19.770000,,,,3,,,T19-952568,,,MAR.2019,FY2019
T19-949350,A1062256,,03/26/2019,17:09:49.197000,,MICROCHIP (24HR PET WATCH),,,,,T19-949343,,,MAR.2019,FY2019
T19-942925,A1061514,TREATABLE REHABILITABLE NON-CONTAGIOUS,03/20/2019,09:56:00,LS,,,,49.2,,T19-942925,EXAM - ADOPTION,,MAR.2019,FY2019
