Treatment Number,Animal ID,Condition Type,Treatment Date,Treatment Time,Treatment By,Treatment Type,Treatment Subtype,Number of Days,Weight,Temperature,Visit Number,Visit Type,Visit Reason,Month,Year
T18-776965,A1044756,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/27/2018,12:27:00,OB,,,,50.2,,T18-776965,EXAM - ADOPTION,,SEP.2018,FY2018
T18-754458,A1042057,,9/7/2018,37:25.5,,,,1,,,T18-754457,,,SEP.2018,FY2018
T18-779829,A1044817,,9/29/2018,05:53.9,,,,14,,,T18-779828,,,SEP.2018,FY2018
T18-729900,A1040494,TREATABLE REHABILITABLE CONTAGIOUS,8/15/2018,17:12:00,LV,,,,1,,T18-729900,HEALTH MAINTENANCE,RESPIRATORY,AUG.2018,FY2018
T18-520631,A1018169,TREATABLE REHABILITABLE NON-CONTAGIOUS,1/17/2018,10:26:00,LV,,,,,,T18-520631,EXAM-VET,,JAN.2018,FY2018
T18-751097,A1042319,,9/4/2018,05:51.4,,,,1,,,T18-751095,,,SEP.2018,FY2018
T18-773874,A1044531,,9/24/2018,34:38.5,,,,1,,,T18-773872,,,SEP.2018,FY2018
T18-633120,A1030811,,5/23/2018,44:51.9,,,,1,,,T18-633117,,,MAY.2018,FY2018
T18-778037,A1044871,,9/28/2018,20:36.5,,,,1,,,T18-778035,,,SEP.2018,FY2018
T18-777604,A1044816,,9/27/2018,07:51.2,,,,1,,,T18-777601,,,SEP.2018,FY2018
T18-771268,A1043329,,9/22/2018,58:52.9,,,,1,,,T18-771263,,,SEP.2018,FY2018
T18-768348,A1043853,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/19/2018,17:34:00,,,,,,,T18-768348,SURGERY-,,SEP.2018,FY2018
T18-771600,A1044278,,9/22/2018,49:43.1,,,,1,,,T18-771597,,,SEP.2018,FY2018
T18-777914,A1044506,,9/28/2018,53:44.2,,,,1,,,T18-777913,,,SEP.2018,FY2018
T18-741912,A1041514,,8/25/2018,59:13.6,,,,1,,,T18-741909,,,AUG.2018,FY2018
T18-773863,A1044532,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/24/2018,16:31:00,LS,,,,13,,T18-773863,EXAM,,SEP.2018,FY2018
T18-553658,A0998346,TREATABLE REHABILITABLE NON-CONTAGIOUS,2/24/2018,12:10:00,LV,,,,9.6,,T18-553658,HEALTH MAINTENANCE,,FEB.2018,FY2018
T18-772614,A1044292,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/23/2018,11:55:00,AG2,,,,48.2,,T18-772614,EXAM - ADOPTION,,SEP.2018,FY2018
T18-771702,A1042786,TREATABLE REHABILITABLE CONTAGIOUS,9/22/2018,0:00:00,AG/AG2,,,,26,,T18-771702,VET CHECK,,SEP.2018,FY2018
T18-764621,A1042820,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/16/2018,16:05:00,LS,,,,,,T18-764621,EXAM - ADOPTION,,SEP.2018,FY2018
T18-779059,A1044940,,9/29/2018,25:36.3,,MICROCHIP (24HR PET WATCH),,,,,T18-779058,,,SEP.2018,FY2018
T18-751121,A1042113,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/4/2018,12:13:00,LS,,,,1.2,,T18-751121,EXAM,,SEP.2018,FY2018
T18-777367,A1043008,,9/27/2018,57:52.3,,,,14,,,T18-777363,,,SEP.2018,FY2018
T18-773760,A1044384,,9/24/2018,47:40.3,,,,1,,,T18-773759,,,SEP.2018,FY2018
T18-752294,A1042387,,9/5/2018,40:19.0,,,,1,,,T18-752279,,,SEP.2018,FY2018
T18-725118,A1040042,,8/12/2018,39:04.8,,,,1,,,T18-725116,,,AUG.2018,FY2018
T18-779061,A1044940,,9/29/2018,25:41.7,,,,1,,,T18-779058,,,SEP.2018,FY2018
T18-769995,A1044150,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/20/2018,19:46:00,JC,,,,9.2,,T18-769995,INTAKE EXAM,,SEP.2018,FY2018
T18-774312,A1043839,,9/25/2018,44:02.3,,,,1,,,T18-774311,,,SEP.2018,FY2018
T18-762791,A1042494,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/14/2018,15:55:00,LV,,,,2,,T18-762791,EXAM-VET,,SEP.2018,FY2018
T18-776223,A1044722,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/26/2018,17:01:00,OB,,,,1.1,,T18-776223,INTAKE EXAM,,SEP.2018,FY2018
T18-780205,A1045080,,9/30/2018,02:12.4,,MICROCHIP (24HR PET WATCH),,,,,T18-780197,,,SEP.2018,FY2018
T18-509457,A1018169,,1/3/2018,31:11.6,,,,1,,,T18-509453,,,JAN.2018,FY2018
T18-774980,A1044608,,9/25/2018,24:24.0,,,,1,,,T18-774975,,,SEP.2018,FY2018
T18-773842,A1044540,,9/24/2018,26:08.8,,,,1,,,T18-773836,,,SEP.2018,FY2018
T18-614824,A1028950,,5/5/2018,28:48.2,,,,1,,,T18-614823,,,MAY.2018,FY2018
T18-771805,A1039615,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/22/2018,14:05:00,LV/DT,,,,1.5,,T18-771805,EXAM-VISUAL,,SEP.2018,FY2018
T18-776407,A1044739,,9/26/2018,31:49.7,,,,14,,,T18-776404,,,SEP.2018,FY2018
T18-691617,A1036747,,7/14/2018,19:05.7,,,,1,,,T18-691611,,,JUL.2018,FY2018
T18-755341,A1042494,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/7/2018,17:22:00,LV,,,,2.5,,T18-755341,EXAM - ADOPTION,,SEP.2018,FY2018
T18-780028,A1045061,,9/30/2018,54:49.2,,,,1,,,T18-780025,,,SEP.2018,FY2018
T18-777090,A1021003,,9/27/2018,27:17.0,,,,1,,,T18-777087,,,SEP.2018,FY2018
T18-772690,A1044346,,9/23/2018,50:52.8,,MICROCHIP (24HR PET WATCH),,,,,T18-772687,,,SEP.2018,FY2018
T18-762954,A1043486,,9/14/2018,44:58.6,,,,1,,,T18-762952,,,SEP.2018,FY2018
T18-777670,A1044733,TREATABLE MANAGEABLE CONTAGIOUS,9/27/2018,18:15:00,,,,,,,T18-777670,VET CHECK,,SEP.2018,FY2018
T18-763572,A1041513,,9/15/2018,17:04.7,,,,1,,,T18-763570,,,SEP.2018,FY2018
T18-769997,A1044150,,9/20/2018,47:13.0,,,,1,,,T18-769995,,,SEP.2018,FY2018
T18-780685,A1043558,,9/30/2018,10:44.2,,,,14,,,T18-780684,,,SEP.2018,FY2018
T18-778525,A1044736,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/28/2018,14:32:00,LV,,,,,,T18-778525,EXAM - ADOPTION,,SEP.2018,FY2018
T18-761558,A1043245,,9/13/2018,12:29.9,,,,1,,,T18-761555,,,SEP.2018,FY2018
T18-777871,A1044771,UNHEALTHY UNTREATABLE CONTAGIOUS,9/27/2018,2:43:00,,,,,,,T18-777871,VET CHECK,,SEP.2018,FY2018
T18-530852,A1020026,,1/29/2018,56:54.4,,,,1,,,T18-530851,,,JAN.2018,FY2018
T18-769848,A1044110,,9/20/2018,16:45.3,,,,1,,,T18-769844,,,SEP.2018,FY2018
T18-772337,A1044292,,9/22/2018,22:42.6,,,,1,,,T18-771644,,,SEP.2018,FY2018
T18-773625,A1044504,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/24/2018,14:32:00,,,,,55.8,,T18-773625,INTAKE EXAM,,SEP.2018,FY2018
T18-761846,A1043245,,9/13/2018,42:38.4,,,,1,,,T18-761844,,,SEP.2018,FY2018
T18-771649,A1044292,,9/22/2018,04:19.0,,,,1,,,T18-771644,,,SEP.2018,FY2018
T18-775800,A1038637,,9/26/2018,50:54.6,,,,1,,,T18-775799,,,SEP.2018,FY2018
T18-752291,A1042387,,9/5/2018,39:42.8,,,,1,,,T18-752279,,,SEP.2018,FY2018
T18-759915,A1043188,UNKNOWN,9/12/2018,13:06:00,,,,,,,T18-759915,HEALTH MAINTENANCE,,SEP.2018,FY2018
T18-769397,A1044116,,9/20/2018,35:16.3,,,,1,,,T18-769395,,,SEP.2018,FY2018
T18-755082,A1042491,,9/7/2018,25:42.9,,,,1,,,T18-755073,,,SEP.2018,FY2018
T18-775921,A1044672,,9/26/2018,40:24.8,,,,1,,,T18-775917,,,SEP.2018,FY2018
T18-776365,A1044729,,9/26/2018,25:46.5,,,,14,,,T18-776348,,,SEP.2018,FY2018
T18-775091,A1042319,TREATABLE REHABILITABLE CONTAGIOUS,9/25/2018,16:33:00,AG,,,,,,T18-775091,EXAM-VET,,SEP.2018,FY2018
T18-746369,A1041321,,8/30/2018,09:21.2,,,,14,,,T18-746367,,,AUG.2018,FY2018
T18-767124,A1043892,,9/18/2018,29:39.1,,,,1,,,T18-767122,,,SEP.2018,FY2018
T18-625905,A1029973,TREATABLE REHABILITABLE NON-CONTAGIOUS,5/16/2018,15:05:00,,,,,,,T18-625905,INTAKE EXAM,,MAY.2018,FY2018
T18-779816,A1044815,,9/29/2018,04:10.9,,,,14,,,T18-779815,,,SEP.2018,FY2018
T18-767119,A1043895,,9/18/2018,20:53.4,,,,1,,,T18-767115,,,SEP.2018,FY2018
T18-772743,A1044140,TREATABLE REHABILITABLE CONTAGIOUS,9/23/2018,13:35:00,SR,,,,,,T18-772743,VET CHECK,,SEP.2018,FY2018
T18-542197,A0867191,TREATABLE REHABILITABLE NON-CONTAGIOUS,2/10/2018,11:53:00,LV,,,,23.2,,T18-542197,HEALTH MAINTENANCE,,FEB.2018,FY2018
T18-771675,A1043852,TREATABLE REHABILITABLE CONTAGIOUS,9/22/2018,13:14:00,AG/AG2,,,,40,,T18-771675,VET CHECK,,SEP.2018,FY2018
T18-773541,A1044499,TREATABLE REHABILITABLE CONTAGIOUS,9/24/2018,13:21:00,SR.ER,,,,2.2,,T18-773541,INTAKE EXAM,,SEP.2018,FY2018
T18-657695,A1033099,TREATABLE REHABILITABLE NON-CONTAGIOUS,6/14/2018,15:59:00,,,,,,,T18-657695,SURGERY-,,JUN.2018,FY2018
T18-770653,A0861445,,9/21/2018,16:47.7,,,,1,,,T18-770652,,,SEP.2018,FY2018
T18-776603,A1044771,,9/27/2018,44:29.8,,,,1,,,T18-776602,,,SEP.2018,FY2018
T18-776543,A1044758,,9/26/2018,09:24.4,,,,1,,,T18-776538,,,SEP.2018,FY2018
T18-777683,A1043995,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/27/2018,17:45:00,LV,,,,,,T18-777683,EXAM-VISUAL,,SEP.2018,FY2018
T18-739066,A1038741,TREATABLE REHABILITABLE CONTAGIOUS,8/23/2018,13:07:00,AG/NG,,,,7,,T18-739066,EXAM-VET,,AUG.2018,FY2018
T18-757488,A1042899,TREATABLE REHABILITABLE CONTAGIOUS,9/10/2018,12:51:00,SR,,,,,,T18-757488,MEDICAL REVIEW,,SEP.2018,FY2018
T18-760649,A1042319,,9/13/2018,53:13.4,,,,1,,,T18-760646,,,SEP.2018,FY2018
T18-775982,A1044667,,9/26/2018,53:37.3,,MICROCHIP (24HR PET WATCH),,,,,T18-775981,,,SEP.2018,FY2018
T18-764937,A1042355,,9/17/2018,46:47.6,,,,1,,,T18-764936,,,SEP.2018,FY2018
T18-756773,A1042830,,9/9/2018,09:29.9,,,,1,,,T18-756771,,,SEP.2018,FY2018
T18-648363,A1012968,UNKNOWN,6/6/2018,10:51:00,ER,,,,,,T18-648363,HEALTH MAINTENANCE,,JUN.2018,FY2018
T18-762917,A1041989,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/14/2018,17:30:00,NG,,,,,,T18-762917,EXAM-VISUAL,,SEP.2018,FY2018
T18-757610,A1042891,,9/10/2018,09:50.1,,,,1,,,T18-757609,,,SEP.2018,FY2018
T18-779884,A1045045,,9/29/2018,31:31.3,,,,1,,,T18-779876,,,SEP.2018,FY2018
T18-776167,A1029973,,9/26/2018,35:01.3,,,,1,,,T18-776111,,,SEP.2018,FY2018
T18-780412,A1045099,UNKNOWN,9/30/2018,14:27:00,NG,,,,,,T18-780412,EXAM-VISUAL,,SEP.2018,FY2018
T18-767116,A1043895,,9/18/2018,20:07.5,,,,1,,,T18-767115,,,SEP.2018,FY2018
T18-777072,A1041091,,9/27/2018,14:57.9,,,,1,,,T18-777070,,,SEP.2018,FY2018
T18-775494,A1043991,,9/26/2018,12:47.2,,,,1,,,T18-775489,,,SEP.2018,FY2018
T18-773627,A1044504,,9/24/2018,32:27.9,,,,1,,,T18-773625,,,SEP.2018,FY2018
T18-771898,A1044246,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/22/2018,14:53:00,LV/DT,,,,,,T18-771898,HISTORY,,SEP.2018,FY2018
T18-779541,A1045002,,9/29/2018,29:25.7,,,,1,,,T18-779536,,,SEP.2018,FY2018
T18-777483,A1044810,,9/27/2018,44:58.0,,,,1,,,T18-777481,,,SEP.2018,FY2018
T18-779044,A1042065,,9/29/2018,17:13.9,,,,1,,,T18-779041,,,SEP.2018,FY2018
T18-759594,A1042830,,9/9/2018,43:45.5,,MICROCHIP (24HR PET WATCH),,,,,T18-756863,,,SEP.2018,FY2018
T18-777103,A1042474,,9/27/2018,30:56.1,,,,1,,,T18-777100,,,SEP.2018,FY2018
T18-777614,A1044814,,9/27/2018,10:30.4,,,,1,,,T18-777611,,,SEP.2018,FY2018
T18-776134,A1044672,,9/26/2018,11:19.5,,,,1,,,T18-776132,,,SEP.2018,FY2018
T18-776820,A1044362,,9/27/2018,33:52.6,,,,1,,,T18-776816,,,SEP.2018,FY2018
T18-719586,A1039538,,8/8/2018,31:46.9,,,,1,,,T18-719584,,,AUG.2018,FY2018
T18-780484,A1043045,UNKNOWN,9/30/2018,15:16:00,,,,,,,T18-780484,VET CHECK,,SEP.2018,FY2018
T18-752469,A1041516,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/5/2018,12:26:00,AG,,,,1.8,,T18-752469,EXAM-VET,,SEP.2018,FY2018
T18-777554,A1044840,,9/27/2018,57:26.5,,,,1,,,T18-777548,,,SEP.2018,FY2018
T18-736665,A1041104,,8/21/2018,09:43.2,,,,1,,,T18-736663,,,AUG.2018,FY2018
T18-756494,A1042820,,9/9/2018,40:13.6,,,,1,,,T18-756492,,,SEP.2018,FY2018
T18-776885,A1044769,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/27/2018,11:56:00,NG/AG2,,,,60,,T18-776885,EXAM - ADOPTION,,SEP.2018,FY2018
T18-758409,A1042211,,9/11/2018,18:42.8,,,,1,,,T18-758405,,,SEP.2018,FY2018
T18-750166,A1042211,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/3/2018,10:00:00,OB,,,,63.8,,T18-750166,EXAM - ADOPTION,,SEP.2018,FY2018
T18-719616,A1038116,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,8/8/2018,10:50:00,OB,,,,,,T18-719616,EXAM-VISUAL,,AUG.2018,FY2018
T18-779089,A1044729,,9/29/2018,36:17.1,,,,1,,,T18-779088,,,SEP.2018,FY2018
T18-761742,A0903396,,9/13/2018,18:02.0,,,,1,,,T18-761561,,,SEP.2018,FY2018
T18-776403,A1044738,,9/26/2018,30:19.4,,,,14,,,T18-776392,,,SEP.2018,FY2018
T18-664077,A1032954,TREATABLE REHABILITABLE NON-CONTAGIOUS,6/20/2018,17:02:00,,,,,,,T18-664077,SURGERY-,,JUN.2018,FY2018
T18-777739,A1044844,,9/27/2018,20:48.4,,,,1,,,T18-777737,,,SEP.2018,FY2018
T18-771559,A1044148,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/22/2018,12:37:00,LV,,,,12.6,,T18-771559,EXAM - ADOPTION,,SEP.2018,FY2018
T18-759937,A1038637,UNKNOWN,9/12/2018,13:35:00,SEC,,,,,,T18-759937,HEALTH MAINTENANCE,,SEP.2018,FY2018
T18-762224,A1043421,,9/14/2018,59:05.3,,,,1,,,T18-762221,,,SEP.2018,FY2018
T18-763141,A1043421,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/15/2018,8:59:00,SR.ER,,,,46.4,,T18-763141,EXAM - ADOPTION,,SEP.2018,FY2018
T18-774213,A1044585,TREATABLE MANAGEABLE NON-CONTAGIOUS,9/25/2018,10:11:00,,,,,28,102.7,T18-774213,MEDICAL REVIEW,XRAY,SEP.2018,FY2018
T18-773846,A1044530,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/24/2018,16:28:00,LS,,,,1.1,,T18-773846,EXAM,,SEP.2018,FY2018
T18-780236,A1045075,,9/30/2018,19:48.4,,,,1,,,T18-780233,,,SEP.2018,FY2018
T18-776822,A1044362,,9/27/2018,34:16.2,,,,1,,,T18-776816,,,SEP.2018,FY2018
T18-776301,A1044734,UNKNOWN,9/26/2018,17:49:00,,,,,,,T18-776301,VET CHECK,,SEP.2018,FY2018
T18-767281,A1042376,,9/19/2018,49:10.2,,,,1,,,T18-767280,,,SEP.2018,FY2018
T18-779258,A1044834,,9/29/2018,53:02.3,,,,1,,,T18-779256,,,SEP.2018,FY2018
T18-770539,A1038741,,9/21/2018,07:37.9,,,,1,,,T18-770534,,,SEP.2018,FY2018
T18-768080,A1043991,,9/19/2018,23:06.4,,,,1,,,T18-768066,,,SEP.2018,FY2018
T18-633119,A1030811,,5/23/2018,44:46.6,,,,1,,,T18-633117,,,MAY.2018,FY2018
T18-770425,A1044172,,9/21/2018,09:21.3,,,,1,,,T18-770422,,,SEP.2018,FY2018
T18-769476,A1044109,,9/20/2018,05:10.7,,,,1,,,T18-768839,,,SEP.2018,FY2018
T18-748118,A1041948,TREATABLE REHABILITABLE NON-CONTAGIOUS,8/31/2018,17:14:00,LV,,,,,,T18-748118,HEALTH MAINTENANCE,,AUG.2018,FY2018
T18-778724,A1043430,TREATABLE REHABILITABLE CONTAGIOUS,9/28/2018,16:31:00,LV,,,,65,,T18-778724,MEDICAL REVIEW,,SEP.2018,FY2018
T18-742728,A1041593,,8/27/2018,33:06.9,,MICROCHIP (HOME AGAIN),,,,,T18-742724,,,AUG.2018,FY2018
T18-741914,A1041514,,8/25/2018,59:26.4,,,,1,,,T18-741909,,,AUG.2018,FY2018
T18-776024,A1044690,,9/26/2018,00:08.8,,,,1,,,T18-776018,,,SEP.2018,FY2018
T18-761778,A1042719,,9/13/2018,30:56.2,,,,1,,,T18-761774,,,SEP.2018,FY2018
T18-779564,A1044759,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/29/2018,13:57:00,,,,,,,T18-779564,EXAM-VET,,SEP.2018,FY2018
T18-779533,A1044998,,9/29/2018,24:06.3,,,,1,,,T18-779529,,,SEP.2018,FY2018
T18-777596,A1044817,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/27/2018,17:06:00,,,,,5.1,,T18-777596,INTAKE EXAM,,SEP.2018,FY2018
T18-776178,A1012968,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/26/2018,16:07:00,RV,,,,68,,T18-776178,INTAKE EXAM,,SEP.2018,FY2018
T18-774280,A1042902,,9/25/2018,37:33.9,,,,1,,,T18-774279,,,SEP.2018,FY2018
T18-771607,A1043194,,9/22/2018,50:20.1,,,,14,,,T18-771592,,,SEP.2018,FY2018
T18-767012,A1043891,,9/18/2018,42:46.4,,,,1,,,T18-767011,,,SEP.2018,FY2018
T18-778180,A1044788,,9/28/2018,11:32.4,,HW MICROFILARIA TEST,NEGATIVE,,,,T18-778178,,,SEP.2018,FY2018
T18-760960,A1042121,UNKNOWN,9/13/2018,12:18:00,,,,,,,T18-760960,MEDICAL REVIEW,,SEP.2018,FY2018
T18-779748,A1045009,,9/29/2018,23:18.7,,,,1,,,T18-779743,,,SEP.2018,FY2018
T18-773396,A1043474,TREATABLE REHABILITABLE CONTAGIOUS,9/24/2018,12:03:00,AG,,,,39,,T18-773396,VET CHECK,,SEP.2018,FY2018
T18-750553,A1042267,,9/3/2018,49:17.1,,,,1,,,T18-750552,,,SEP.2018,FY2018
T18-771089,A1044242,,9/21/2018,25:39.3,,,,1,,,T18-771088,,,SEP.2018,FY2018
T18-761906,A1040041,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/13/2018,18:09:00,CP/PA,,,,1.3,,T18-761906,EXAM,,SEP.2018,FY2018
T18-776688,A1044291,,9/27/2018,57:50.8,,,,3,,,T18-776682,,,SEP.2018,FY2018
T18-768793,A1043852,,9/20/2018,28:25.0,,,,1,,,T18-768790,,,SEP.2018,FY2018
T18-746380,A1041321,TREATABLE REHABILITABLE CONTAGIOUS,8/30/2018,12:06:00,AG,,,,52,,T18-746380,MEDICAL REVIEW,,AUG.2018,FY2018
T18-778301,A1041745,,9/28/2018,58:02.1,,,,1,,,T18-778299,,,SEP.2018,FY2018
T18-772046,A0986602,,9/22/2018,02:35.2,,,,1,,,T18-772042,,,SEP.2018,FY2018
T18-771554,A1044275,,9/22/2018,35:26.2,,,,1,,,T18-771550,,,SEP.2018,FY2018
T18-780742,A1039538,,9/30/2018,20:26.1,,,,1,,,T18-780738,,,SEP.2018,FY2018
T18-779835,A1044819,UNHEALTHY UNTREATABLE CONTAGIOUS,9/29/2018,17:01:00,LV,,,,4.9,,T18-779835,EXAM-VET,,SEP.2018,FY2018
T18-777966,A1006351,,9/28/2018,30:22.3,,,,1,,,T18-777964,,,SEP.2018,FY2018
T18-778457,A1044646,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/28/2018,13:48:00,NG.AG2.ER,,,,7,,T18-778457,EXAM - ADOPTION,,SEP.2018,FY2018
T18-642792,A1029973,TREATABLE REHABILITABLE CONTAGIOUS,6/1/2018,11:52:00,AG,,,,,,T18-642792,EXAM-VET,,JUN.2018,FY2018
T18-776350,A1044729,,9/26/2018,23:19.3,,,,1,,,T18-776348,,,SEP.2018,FY2018
T18-771270,A1043329,,9/22/2018,59:06.1,,,,1,,,T18-771263,,,SEP.2018,FY2018
T18-780589,A1045106,,9/30/2018,05:56.6,,,,1,,,T18-780578,,,SEP.2018,FY2018
T18-748452,A1042065,,9/1/2018,54:45.4,,MICROCHIP (HOME AGAIN),,,,,T18-748427,,,SEP.2018,FY2018
T18-743846,A1041663,,8/28/2018,23:13.5,,MICROCHIP (HOME AGAIN),,,,,T18-743843,,,AUG.2018,FY2018
T18-780289,A1045071,,9/30/2018,46:09.6,,,,1,,,T18-780286,,,SEP.2018,FY2018
T18-649051,A1030811,TREATABLE REHABILITABLE NON-CONTAGIOUS,6/6/2018,17:15:00,SR,,,,4.8,,T18-649051,EXAM-VISUAL,,JUN.2018,FY2018
T18-776968,A1044756,,9/27/2018,29:36.0,,HEARTWORM TEST,NEGATIVE,,,,T18-776965,,,SEP.2018,FY2018
T18-775275,A1044647,,9/25/2018,38:59.9,,,,1,,,T18-775273,,,SEP.2018,FY2018
T18-765786,A1043806,,9/18/2018,24:27.6,,,,1,,,T18-765783,,,SEP.2018,FY2018
T18-768022,A1042474,,9/19/2018,39:44.2,,,,1,,,T18-768020,,,SEP.2018,FY2018
T18-733180,A1040765,,8/18/2018,45:10.0,,,,1,,,T18-733177,,,AUG.2018,FY2018
T18-779779,A1045035,,9/29/2018,47:25.2,,MICROCHIP (24HR PET WATCH),,,,,T18-779778,,,SEP.2018,FY2018
T18-773516,A1044502,,9/24/2018,26:17.3,,,,1,,,T18-773511,,,SEP.2018,FY2018
T18-777990,A1044810,,9/28/2018,51:49.8,,,,1,,,T18-777988,,,SEP.2018,FY2018
T18-736285,A1041089,TREATABLE REHABILITABLE CONTAGIOUS,8/21/2018,12:15:00,SR,,,,1,,T18-736285,MEDICAL REVIEW,RESPIRATORY,AUG.2018,FY2018
T18-780657,A1044956,,9/30/2018,41:23.6,,,,14,,,T18-780654,,,SEP.2018,FY2018
T18-652939,A1032849,TREATABLE REHABILITABLE NON-CONTAGIOUS,6/10/2018,14:35:00,LR,,,,6.2,,T18-652939,EXAM - ADOPTION,,JUN.2018,FY2018
T18-772295,A1044344,,9/22/2018,56:54.6,,,,1,,,T18-772293,,,SEP.2018,FY2018
T18-780592,A1045109,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/30/2018,16:00:00,AG2,,,,2.9,,T18-780592,INTAKE EXAM,,SEP.2018,FY2018
T18-731280,A1040272,,8/16/2018,27:00.7,,,,1,,,T18-731276,,,AUG.2018,FY2018
T18-739955,A1040858,,8/24/2018,51:05.3,,,,3,,,T18-739950,,,AUG.2018,FY2018
T18-755338,A1042492,,9/7/2018,25:12.9,,MICROCHIP (HOME AGAIN),,,,,T18-755337,,,SEP.2018,FY2018
T18-779586,A1044987,,9/29/2018,55:22.5,,,,1,,,T18-779580,,,SEP.2018,FY2018
T18-773395,A1043474,TREATABLE REHABILITABLE CONTAGIOUS,9/24/2018,12:03:00,AG,,,,39,,T18-773395,VET CHECK,,SEP.2018,FY2018
T18-769034,A1043892,,9/20/2018,42:41.9,,HEARTWORM TEST,NEGATIVE,,,,T18-769032,,,SEP.2018,FY2018
T18-744435,A1041358,,8/28/2018,39:17.6,,MICROCHIP (HOME AGAIN),,,,,T18-744433,,,AUG.2018,FY2018
T18-770483,A1043701,,9/21/2018,39:26.3,,,,1,,,T18-770482,,,SEP.2018,FY2018
T18-777533,A1044821,,9/27/2018,51:57.3,,,,1,,,T18-777532,,,SEP.2018,FY2018
T18-766197,A1043837,,9/18/2018,40:05.4,,,,1,,,T18-766194,,,SEP.2018,FY2018
T18-736280,A1041089,TREATABLE REHABILITABLE CONTAGIOUS,8/21/2018,12:15:00,SR,,,,1,,T18-736280,INTAKE EXAM,,AUG.2018,FY2018
T18-509458,A1018169,,1/3/2018,31:27.9,,,,1,,,T18-509453,,,JAN.2018,FY2018
T18-780033,A1045070,,9/30/2018,31:58.6,,,,1,,,T18-780030,,,SEP.2018,FY2018
T18-634466,A1030839,UNKNOWN,5/23/2018,18:08:00,ER,,,,,,T18-634466,HEALTH MAINTENANCE,,MAY.2018,FY2018
T18-769406,A1044116,UNKNOWN,9/20/2018,14:32:00,,,,,,,T18-769406,MEDICAL REVIEW,,SEP.2018,FY2018
T18-764916,A1036772,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/17/2018,9:40:00,SR,,,,,,T18-764916,EXAM-VISUAL,,SEP.2018,FY2018
T18-774825,A1044208,,9/25/2018,16:05.1,,,,1,,,T18-774821,,,SEP.2018,FY2018
T18-774976,A1044608,,9/25/2018,23:47.7,,,,1,,,T18-774975,,,SEP.2018,FY2018
T18-779019,A1041513,,9/29/2018,05:42.4,,,,1,,,T18-779014,,,SEP.2018,FY2018
T18-774229,A1044585,,9/25/2018,17:44.7,,,,1,,,T18-774221,,,SEP.2018,FY2018
T18-779838,A1008585,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/29/2018,17:06:00,AG2/ER,,,,55.2,,T18-779838,INTAKE EXAM,,SEP.2018,FY2018
T18-769243,A1044093,,9/20/2018,53:09.7,,,,1,,,T18-769239,,,SEP.2018,FY2018
T18-764481,A0862164,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/16/2018,14:52:00,NG,,,,38,,T18-764481,INTAKE EXAM,,SEP.2018,FY2018
T18-745069,A1040394,TREATABLE REHABILITABLE CONTAGIOUS,8/29/2018,11:32:00,AG,,,,48,,T18-745069,MEDICAL REVIEW,,AUG.2018,FY2018
T18-772154,A1044310,,9/22/2018,34:52.5,,,,1,,,T18-772145,,,SEP.2018,FY2018
T18-780065,A1044928,,9/28/2018,23:50.3,,HEARTWORM TEST,HIGH POSITIVE,,,,T18-778711,,,SEP.2018,FY2018
T18-773776,A1044292,TREATABLE REHABILITABLE NON-CONTAGIOUS,9/23/2018,16:20:00,OB,,,,38.2,,T18-773776,EXAM - ADOPTION,,SEP.2018,FY2018
T18-710527,A1038741,TREATABLE REHABILITABLE NON-CONTAGIOUS,7/31/2018,12:51:00,SR/AG,,,,6.4,,T18-710527,HEALTH MAINTENANCE,,JUL.2018,FY2018
